division,age,gender,prediction
3,32,female,Yes
3,32,male,No
3,32,male,No
3,32,male,No
3,32,male,Yes
3,32,male,No
3,31,male,Yes
3,31,male,No
3,31,female,Yes
3,31,female,No
3,31,male,No
3,31,male,No
3,31,female,Yes
3,31,male,Yes
3,31,male,No
3,30.5,male,No
3,30,male,No
3,30,female,Yes
3,30,male,No
3,30,male,No
3,30,male,No
3,30,male,No
3,30,female,Yes
3,29,female,Yes
3,29,male,No
3,29,male,No
3,29,male,Yes
3,29,female,Yes
3,29,male,Yes
3,29,male,No
3,28.5,male,No
3,28,male,No
3,28,male,No
3,28,male,No
3,28,male,No
3,28,female,Yes
3,28,female,Yes
3,28,male,No
3,28,female,No
3,28,male,No
3,28,male,No
3,28,male,No
3,28,female,Yes
3,28,female,Yes
3,28,male,No
3,28,male,No
3,28,female,No
3,28,female,Yes
3,27,male,No
3,27,male,No
3,27,female,Yes
3,27,male,No
3,27,male,No
3,27,male,No
3,27,male,No
3,27,male,Yes
3,27,male,No
3,27,female,Yes
3,26,male,No
3,26,female,No
3,26,male,Yes
3,26,male,No
3,26,female,No
3,26,male,No
3,26,female,No
3,26,male,No
3,26,male,No
3,26,female,No
3,26,male,No
3,26,male,No
3,25,male,Yes
3,25,female,No
3,25,female,No
3,25,male,No
3,25,male,No
3,25,male,No
3,25,female,No
3,25,male,No
3,25,male,No
3,25,male,No
3,25,male,Yes
3,25,female,Yes
3,25,male,No
3,24.5,female,No
3,24,male,No
3,24,male,No
3,24,male,Yes
3,24,female,Yes
3,24,male,No
3,24,male,No
3,24,male,Yes
3,24,male,No
3,24,male,No
3,24,male,No
3,24,male,No
3,23,male,No
3,23,female,Yes
3,23,male,No
3,23,male,No
3,23,female,No
3,23,male,No
3,23,male,No
3,23,female,Yes
3,23,male,No
3,23,male,No
3,22,female,Yes
3,22,female,No
3,22,male,No
3,22,male,Yes
3,22,male,No
3,22,male,No
3,22,male,No
3,22,male,No
3,22,male,No
3,22,male,No
3,22,male,No
3,22,female,No
3,22,female,No
3,22,female,No
3,22,male,No
3,22,male,Yes
3,21,male,Yes
3,21,male,No
3,21,male,No
3,21,male,No
3,21,male,No
3,21,male,No
3,21,male,No
3,21,male,No
3,21,male,No
3,21,male,No
3,21,male,No
3,21,male,No
3,21,female,Yes
3,20.5,female,No
3,20,male,No
3,20,female,No
3,20,female,No
3,20,male,No
3,19,male,No
3,19,male,Yes
3,19,female,Yes
3,19,female,Yes
3,19,male,No
3,19,male,No
3,19,male,No
3,19,female,No
3,19,male,No
3,19,male,No
3,19,female,No
3,19,male,No
3,19,male,Yes
3,19,female,Yes
3,19,male,No
3,18,male,No
3,18,female,No
3,18,male,Yes
3,18,male,No
3,18,male,No
3,18,male,No
3,18,male,No
3,18,male,No
3,18,female,No
3,18,male,No
3,18,male,No
3,18,male,No
3,17,male,No
3,17,male,No
3,17,male,No
3,17,male,No
3,17,female,No
3,17,male,No
3,17,female,Yes
3,17,male,No
3,16,male,No
3,16,male,No
3,16,female,No
3,16,male,No
3,16,male,Yes
3,16,male,No
3,16,male,No
3,16,male,No
3,16,male,No
3,15,male,No
3,15,female,No
3,14.5,male,No
3,14,female,No
3,14,male,No
3,14,male,No
3,14,female,No
3,13,male,Yes
3,13,female,Yes
3,11,male,No
3,11,male,No
3,11,female,Yes
3,10,male,No
3,9,male,No
3,9,female,Yes
3,9,female,No
3,9,male,No
3,9,female,No
3,8,male,No
3,8,male,No
3,7,male,Yes
3,6,male,No
3,6,male,No
3,4,male,No
3,4,male,No
3,4,female,Yes
3,4,female,No
3,4,female,No
3,4,male,No
3,4,male,No
3,3,male,No
3,3,male,No
3,3,male,No
3,2,female,Yes
3,2,male,Yes
3,2,male,No
3,2,male,No
3,2,female,Yes
3,2,male,No
3,1,female,No
3,1,male,No
3,1,male,No
3,0.83,male,Yes
3,0.42,male,No
2,65,female,Yes
2,62,female,Yes
2,62,male,Yes
2,61,male,No
2,61,male,Yes
2,57,male,No
2,55,female,No
2,54,female,Yes
2,52,female,Yes
2,52,female,Yes
2,51,female,Yes
2,50,female,Yes
2,50,male,No
2,50,male,No
2,49,male,Yes
2,48,female,Yes
2,46,female,Yes
2,46,male,No
2,44,male,No
2,44,male,No
2,44,male,No
2,44,female,Yes
2,42,female,Yes
2,42,male,No
2,42,male,No
2,41,male,No
2,41,male,No
2,40.5,male,No
2,40.5,male,No
2,40,male,No
2,40,female,Yes
2,38,male,No
2,38,male,No
2,38,male,Yes
2,37,female,Yes
2,37,male,No
2,37,male,Yes
2,36,female,No
2,36,female,Yes
2,36,male,No
2,35,male,No
2,35,male,No
2,35,male,No
2,35,male,Yes
2,35,male,No
2,35,male,No
2,35,male,No
2,34,male,No
2,34,female,Yes
2,34,male,No
2,34,male,No
2,34,male,No
2,34,female,Yes
2,34,male,No
2,33,female,Yes
2,33,male,No
2,32,female,Yes
2,32,male,No
2,31,male,Yes
2,31,male,No
2,30.5,female,Yes
2,30,male,No
2,30,female,No
2,30,male,No
2,30,female,Yes
2,30,male,No
2,30,female,Yes
2,30,female,Yes
2,30,female,Yes
2,29,male,Yes
2,29,male,No
2,29,male,No
2,29,male,No
2,29,female,Yes
2,29,female,Yes
2,28,female,No
2,28,male,No
2,27,male,No
2,27,female,Yes
2,27,female,Yes
2,26,male,No
2,26,male,No
2,26,female,Yes
2,26,male,No
2,26,male,Yes
2,25,male,No
2,25,female,Yes
2,25,female,Yes
2,25,male,No
2,25,female,Yes
2,25,female,Yes
2,25,female,Yes
2,24,female,Yes
2,24,male,No
2,24,female,Yes
2,24,female,Yes
2,24,female,Yes
2,24,male,No
2,24,female,Yes
2,24,male,No
2,24,male,No
2,23,female,Yes
2,23,female,Yes
2,23,male,No
2,23,male,No
2,22,female,Yes
2,21,female,Yes
2,21,female,Yes
2,21,female,Yes
2,21,male,No
2,21,female,Yes
2,20,female,Yes
2,20,male,Yes
2,20,female,Yes
2,20,male,Yes
2,20,male,Yes
2,19,male,No
2,19,male,No
2,19,male,Yes
2,18,female,Yes
2,18,female,Yes
2,18,male,No
2,18,male,No
2,18,male,No
2,18,female,Yes
2,18,female,Yes
2,17,female,Yes
2,16,female,Yes
2,16,female,Yes
2,16,male,No
2,16,male,No
2,15,female,Yes
2,14,male,No
2,10,female,Yes
2,9,male,No
2,9,male,No
2,7,male,No
2,7,male,No
2,5,female,Yes
2,5,male,No
2,5,male,Yes
2,4,male,No
2,3,male,No
2,3,male,No
2,2,male,No
2,1,male,No
2,1,female,Yes
1,74,female,Yes
1,71,female,Yes
1,70,male,No
1,64,female,Yes
1,60,male,Yes
1,59,male,No
1,58,male,No
1,58,female,Yes
1,57,male,No
1,56,male,No
1,52,female,Yes
1,52,male,No
1,52,male,Yes
1,51,female,Yes
1,51,male,No
1,50,male,No
1,48,male,No
1,48,female,Yes
1,47,male,No
1,47,male,No
1,47,male,Yes
1,45.5,male,No
1,45,male,No
1,44,male,No
1,43,male,No
1,42,female,Yes
1,42,male,No
1,42,male,No
1,40,female,Yes
1,40,male,No
1,39,female,Yes
1,39,male,No
1,39,male,No
1,39,male,No
1,38,female,No
1,38,male,No
1,38,male,Yes
1,36.5,female,Yes
1,36,female,Yes
1,36,male,Yes
1,36,female,Yes
1,35,female,Yes
1,35,male,Yes
1,35,female,Yes
1,34,male,No
1,34,male,Yes
1,33,male,No
1,33,female,Yes
1,33,female,Yes
1,33,female,Yes
1,33,male,No
1,33,male,No
1,32,female,Yes
1,32,female,Yes
1,32,male,No
1,32,male,No
1,32,female,Yes
1,32,male,No
1,31,female,Yes
1,31,female,Yes
1,31,male,No
1,31,female,No
1,31,male,Yes
1,31,female,Yes
1,30,male,Yes
1,30,female,Yes
1,30,female,Yes
1,30,female,Yes
1,30,female,Yes
1,30,female,Yes
1,30,female,Yes
1,30,female,Yes
1,30,female,Yes
1,30,female,Yes
1,29,male,No
1,29,male,No
1,29,female,Yes
1,29,male,No
1,29,female,Yes
1,29,male,No
1,29,female,Yes
1,28.5,male,No
1,28,female,Yes
1,28,female,Yes
1,28,female,Yes
1,28,male,Yes
1,28,male,No
1,28,female,Yes
1,27,male,No
1,27,female,Yes
1,27,female,Yes
1,27,male,Yes
1,27,female,Yes
1,26,female,Yes
1,25,male,Yes
1,25,male,No
1,25,female,Yes
1,24,male,No
1,24,male,Yes
1,24,male,Yes
1,24,male,Yes
1,24,male,No
1,24,male,Yes
1,24,male,No
1,24,female,Yes
1,24,male,Yes
1,24,male,No
1,23.5,male,No
1,23,male,No
1,22,male,Yes
1,22,female,Yes
1,22,male,No
1,22,male,No
1,22,male,No
1,22,female,Yes
1,22,female,No
1,22,female,Yes
1,22,male,No
1,22,male,Yes
1,21,male,Yes
1,21,female,Yes
1,21,male,No
1,21,female,Yes
1,21,female,Yes
1,21,male,No
1,20,male,No
1,20,female,Yes
1,20,female,Yes
1,20,female,Yes
1,20,male,No
1,20,male,No
1,19,male,Yes
1,19,male,No
1,19,female,Yes
1,19,male,No
1,19,female,Yes
1,19,female,Yes
1,19,male,Yes
1,18,female,Yes
1,18,female,Yes
1,18,male,No
1,18,female,Yes
1,18,male,Yes
1,18,female,Yes
1,18,male,Yes
1,17,male,No
1,17,male,Yes
1,17,male,Yes
1,17,female,Yes
1,16,male,Yes
1,16,male,No
1,16,female,Yes
1,16,male,Yes
1,15,male,Yes
1,15,male,No
1,14,female,Yes
1,12,male,Yes
1,11,male,Yes
1,9,male,No
1,8,male,Yes
1,8,male,No
1,6,female,Yes
1,5,male,No
1,4,male,Yes
1,4,male,Yes
1,3,female,Yes
1,2,male,Yes
1,2,male,No
1,2,male,No
1,1,female,Yes
1,1,male,Yes
1,0.92,male,Yes
1,0.83,female,Yes
1,0.75,female,Yes
1,0.75,male,No
1,0.67,male,Yes
